SYMBOL,DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,NO. OF CONTRACTS,TURNOVER IN ₹ LAKHS,PREMIUM TURNOVER IN ₹ LAKHS,OPEN INT,CHANGE IN OI,UNDERLYING VALUE
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1160,232.00,235.50,228.50,231.80,231.80,231.80,120,1671.65,278.16,18500,-500,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1180,212.10,216.00,210.00,212.50,212.50,212.50,145,2024.18,308.13,22000,-300,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1230,165.00,168.00,163.00,165.40,165.40,165.40,210,2922.30,347.34,31500,200,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1290,108.50,112.00,107.00,109.60,109.60,109.60,380,5267.76,416.48,58000,1200,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1300,100.00,103.50,98.50,101.20,101.20,101.20,520,7201.44,526.24,79000,2500,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1310,92.10,95.50,90.50,93.00,93.00,93.00,480,6649.92,446.40,73000,1800,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1330,77.00,80.50,75.50,78.50,78.50,78.50,610,8443.44,478.85,92000,3200,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1360,57.80,61.00,56.50,59.00,59.00,59.00,820,11351.04,483.80,125000,5500,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1370,51.00,54.50,50.00,52.50,52.50,52.50,950,13149.00,498.75,148000,7000,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1400,33.50,36.00,32.50,34.65,34.65,34.65,1350,18683.10,467.78,210000,12000,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1410,28.00,30.50,27.00,29.00,29.00,29.00,1100,15229.20,319.00,175000,9500,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1470,11.50,13.00,10.80,11.80,11.80,11.80,620,8588.16,73.18,98000,4200,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1500,7.20,8.50,6.80,7.50,7.50,7.50,450,6232.20,33.75,73000,2800,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1530,4.30,5.20,4.00,4.50,4.50,4.50,280,3878.64,12.60,45000,1500,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1640,0.80,1.10,0.70,0.90,0.90,0.90,95,1316.01,0.86,16000,300,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,CE,1660,0.55,0.80,0.50,0.65,0.65,0.65,62,859.15,0.40,10500,150,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1160,1.50,1.80,1.20,1.60,1.60,1.60,85,1177.56,1.36,12000,-200,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1180,2.10,2.50,1.80,2.20,2.20,2.20,110,1524.06,2.42,16500,-350,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1230,4.50,5.20,4.10,4.80,4.80,4.80,195,2700.18,9.36,29000,-800,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1290,10.50,11.80,9.80,11.00,11.00,11.00,320,4432.32,35.20,49000,-1500,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1300,12.50,14.00,11.80,13.20,13.20,13.20,480,6649.92,63.36,72000,-2000,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1310,15.00,16.50,14.00,15.80,15.80,15.80,420,5817.24,66.36,63000,-1800,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1330,20.00,22.00,18.50,21.00,21.00,21.00,560,7756.80,117.60,84000,-2800,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1360,30.50,33.00,29.00,31.50,31.50,31.50,780,10808.64,245.70,118000,-4500,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1370,35.50,38.00,34.00,37.00,37.00,37.00,890,12330.72,329.30,135000,-5500,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1400,55.00,58.50,53.50,56.80,56.80,56.80,1200,16617.60,681.60,185000,-9000,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1410,63.00,67.00,61.50,65.50,65.50,65.50,950,13163.40,622.25,147000,-7500,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1470,105.00,109.00,103.00,107.50,107.50,107.50,480,6650.88,516.00,72000,-3200,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1500,130.00,134.50,128.00,132.00,132.00,132.00,320,4432.32,422.40,49000,-2000,1390.20
RELIANCE,11-Mar-2026,28-Apr-2026,PE,1530,158.00,162.50,155.50,160.50,160.50,160.50,180,2493.54,288.90,27500,-1000,1390.20
